"","Word","SocPhys.Mean","SocPhys.SD","V.Mean.Sum","V.SD.Sum","SUBTLWF","Valence","Concreteness","word_length"
"122","gruesome",2.90909090909091,2.42711950486767,2.89,1.41,2.04,"negative","neutral",8
"123","grumpy",6.8,0.447213595499958,2.81,1.25,2.35,"negative","neutral",6
"124","harmful",4.42857142857143,2.07019667802706,2.29,1.95,1.29,"negative","neutral",7
"125","harmonious",5.4,1.59807576599051,7.7,1.22,0.39,"positive","neutral",10
"126","hateful",6.09090909090909,1.92117388356939,1.9,0.91,2,"negative","neutral",7
"127","heartbroken",6.1875,1.22304265393049,1.95,1,1.82,"negative","neutral",11
"128","hearty",3.625,1.7464249196573,7.25,1.33,1.94,"positive","neutral",6
"129","heavenly",4.625,1.705007707329,7.89,1.52,5.53,"positive","abstract",8
"130","hectic",4.42857142857143,1.98805959477601,2.8,1.15,1.84,"negative","abstract",6
"131","helpful",6.75,0.577350269189626,7.43,1.43,12.14,"positive","abstract",7
"132","heroic",6.4,0.547722557505166,7.45,2.06,4.59,"positive","abstract",6
"133","hilarious",6.5625,0.813941029804985,7.8,1.54,5.78,"positive","neutral",9
"134","homemade",2.4,1.94935886896179,7.38,1.02,2.86,"positive","neutral",8
"135","homicidal",4.18181818181818,2.44205576587357,2,1.2,2.02,"negative","abstract",9
"136","honorable",5.6,1.51657508881031,7.68,1.38,7.24,"positive","abstract",9
"137","hopeful",6.57142857142857,1.13389341902768,7.44,1.34,2.98,"positive","abstract",7
"138","horrendous",4.81818181818182,1.72152152575458,2.58,1.39,1.02,"negative","neutral",10
"139","horrid",4.72727272727273,1.84883255547435,2.68,1.38,2.45,"negative","neutral",6
"140","horrific",4.6,1.34164078649987,2.2,1.99,1.37,"negative","neutral",8
"141","humiliating",6.36363636363636,1.176979772673,2.16,1.57,5.88,"negative","abstract",11
"142","humorous",6.3,1.01779046758035,7.81,1.66,1.47,"positive","neutral",8
"143","hypodermic",2.5,1.4142135623731,2.9,1.33,0.67,"negative","neutral",10
"144","illegitimate",4.85,1.56155740799419,2.79,1.23,1.33,"negative","abstract",12
"145","immobile",1.8,1.30384048104053,2.89,1.2,0.49,"negative","neutral",8
"146","immoral",6,1.58518784780243,2.79,1.47,2.61,"negative","abstract",7
"147","impoverished",6.14285714285714,1.4638501094228,2.43,1.41,0.57,"negative","neutral",12
"148","inadequate",5.8,1.30384048104053,2.57,1.21,1.86,"negative","abstract",10
"149","inconsiderate",6.6,0.547722557505166,2.58,1.46,1.43,"negative","neutral",13
"150","inconvenient",5,1.4142135623731,2.73,1.16,1.63,"negative","abstract",12
"151","incurable",3.14285714285714,1.95180014589707,1.9,1.61,1.02,"negative","abstract",9
