,Word,ConcValCombo_moderate,ConcValCombo_extreme,V.Mean.Sum,Conc.M
478,disregard,abstract-neutral,neutral-neutral,4.52,1.9
479,disrupt,neutral-negative,neutral-neutral,3.48,2.45
480,dissect,neutral-negative,neutral-neutral,3.95,3.21
481,dissolve,neutral-neutral,neutral-neutral,5.43,3.15
482,dissuade,neutral-neutral,neutral-neutral,4.11,2.24
483,distinguish,neutral-neutral,neutral-neutral,5.26,2.2
484,distort,neutral-negative,neutral-neutral,3.38,2.66
485,distract,neutral-negative,neutral-neutral,3.68,2.33
486,distressed,neutral-negative,neutral-neutral,3.38,2.21
487,distribute,neutral-neutral,neutral-neutral,5.05,2.77
488,distrust,abstract-negative,abstract-neutral,2.95,1.44
489,disturb,neutral-negative,neutral-neutral,3.45,3.04
490,ditch,concrete-negative,concrete-neutral,3.2,4.5
491,dive,concrete-neutral,neutral-neutral,5.81,4.03
492,divert,neutral-neutral,neutral-neutral,4.42,2.86
493,divide,neutral-neutral,neutral-neutral,4.78,2.86
494,divulge,neutral-neutral,neutral-neutral,4.79,2.23
495,do,neutral-neutral,neutral-neutral,5.41,2.46
496,dominate,neutral-neutral,neutral-neutral,4.4,2.12
497,donate,neutral-positive,neutral-neutral,6.7,2.88
498,doubt,abstract-negative,neutral-neutral,3.28,1.79
499,douse,neutral-negative,neutral-neutral,3.92,3.27
500,download,neutral-neutral,neutral-neutral,6.0,3.12
501,doze,neutral-neutral,neutral-neutral,5.95,3.46
502,drag,concrete-negative,neutral-neutral,3.68,4.17
503,draw,neutral-positive,neutral-neutral,6.18,3.97
504,dredge,neutral-negative,neutral-neutral,3.32,3.04
505,dribble,neutral-neutral,neutral-neutral,4.68,3.83
506,drive,neutral-positive,neutral-neutral,6.5,3.86
507,drool,concrete-negative,concrete-neutral,3.28,4.61
508,drop,concrete-neutral,neutral-neutral,4.23,4.21
509,drown,neutral-negative,neutral-neutral,2.33,3.93
510,dub,neutral-neutral,neutral-neutral,5.35,3.0
511,dump,neutral-negative,neutral-neutral,3.73,3.93
512,dunk,concrete-neutral,concrete-neutral,4.67,4.52
513,duplicate,neutral-neutral,neutral-neutral,4.7,3.46
514,dwell,neutral-neutral,neutral-neutral,4.75,2.62
515,earn,neutral-positive,neutral-positive,7.0,2.39
516,eat,concrete-positive,neutral-positive,7.1,4.44
517,eavesdrop,neutral-neutral,neutral-neutral,4.05,2.85
518,edit,neutral-neutral,neutral-neutral,4.95,3.28
519,educate,neutral-positive,neutral-positive,7.48,2.12
520,ejaculate,concrete-neutral,neutral-neutral,6.0,4.31
521,eject,neutral-negative,neutral-neutral,3.95,3.22
522,elect,neutral-neutral,neutral-neutral,5.52,2.41
523,electrocute,neutral-negative,neutral-neutral,3.27,3.82
524,elevate,neutral-positive,neutral-neutral,6.42,3.37
525,elicit,abstract-neutral,neutral-neutral,4.14,1.73
526,eliminate,neutral-negative,neutral-neutral,3.89,2.77
527,elk,concrete-neutral,concrete-neutral,5.81,4.93
528,elope,neutral-positive,neutral-neutral,6.58,2.81
529,elude,neutral-neutral,neutral-neutral,4.62,2.65
530,embark,neutral-neutral,neutral-neutral,5.89,2.48
531,embarrass,neutral-negative,neutral-neutral,3.38,2.14
532,embattled,abstract-neutral,neutral-neutral,4.05,1.96
533,embrace,neutral-positive,neutral-positive,7.0,3.38
534,emerge,neutral-neutral,neutral-neutral,5.75,2.27
535,emit,neutral-neutral,neutral-neutral,4.81,3.22
536,empathize,neutral-positive,neutral-positive,7.1,2.23
537,emphasize,abstract-neutral,neutral-neutral,5.75,2.0
538,employ,neutral-neutral,neutral-neutral,5.89,2.41
539,emulate,neutral-neutral,neutral-neutral,5.11,2.37
540,enable,neutral-neutral,neutral-neutral,5.13,2.03
541,encourage,neutral-positive,neutral-positive,7.16,2.61
542,endanger,abstract-negative,neutral-neutral,2.67,1.96
543,endorse,neutral-neutral,neutral-neutral,5.2,2.41
544,endure,abstract-neutral,neutral-neutral,4.95,2.0
545,energize,neutral-positive,neutral-positive,7.43,2.46
546,enforce,neutral-neutral,neutral-neutral,5.32,2.4
547,engage,neutral-positive,neutral-neutral,6.6,2.07
548,engaged,neutral-positive,neutral-neutral,6.78,2.37
549,enhance,neutral-positive,neutral-neutral,6.62,2.21
550,enjoy,neutral-positive,neutral-positive,7.67,2.29
551,enlarge,neutral-neutral,neutral-neutral,5.33,3.17
552,enlighten,abstract-positive,abstract-positive,7.38,1.48
553,enlist,neutral-neutral,neutral-neutral,4.42,2.71
554,enroll,neutral-neutral,neutral-neutral,5.94,2.59
555,enslave,neutral-negative,neutral-neutral,2.67,2.36
556,ensure,abstract-neutral,neutral-neutral,5.71,1.68
557,entail,abstract-neutral,neutral-neutral,5.35,1.84
558,enter,neutral-positive,neutral-neutral,6.09,3.12
559,entertain,neutral-positive,neutral-positive,7.21,2.55
560,entice,abstract-neutral,neutral-neutral,5.33,2.0
561,entitle,neutral-neutral,neutral-neutral,4.89,2.25
562,entrust,neutral-positive,neutral-neutral,6.32,2.16
563,envision,neutral-positive,neutral-neutral,6.14,2.38
564,envy,abstract-negative,neutral-neutral,3.05,1.69
565,equate,abstract-positive,neutral-neutral,6.16,1.93
566,eradicate,neutral-negative,neutral-neutral,3.79,3.0
567,erase,neutral-neutral,neutral-neutral,4.89,3.79
568,erupt,neutral-neutral,neutral-neutral,5.14,3.7
569,escalate,neutral-neutral,neutral-neutral,4.05,2.39
570,escape,neutral-neutral,neutral-neutral,5.5,3.34
571,escort,concrete-neutral,neutral-neutral,5.35,4.3
572,establish,abstract-neutral,neutral-neutral,5.58,2.0
573,evacuate,neutral-negative,neutral-neutral,3.4,3.3
574,evade,neutral-neutral,neutral-neutral,4.55,2.67
575,evaluate,abstract-neutral,neutral-neutral,5.1,1.85
576,evaporate,neutral-neutral,neutral-neutral,5.4,3.29
577,evict,neutral-negative,neutral-neutral,2.63,3.18
578,evolve,abstract-neutral,neutral-neutral,5.7,1.96
579,exaggerate,neutral-neutral,neutral-neutral,4.36,2.23
580,examine,neutral-neutral,neutral-neutral,5.61,2.86
581,exceed,abstract-neutral,neutral-neutral,4.79,1.76
582,excel,neutral-neutral,neutral-neutral,5.95,2.15
583,excite,abstract-positive,neutral-positive,7.79,1.97
584,exclude,neutral-negative,neutral-neutral,3.55,2.62
585,excuse,neutral-neutral,neutral-neutral,4.52,2.29
586,execute,neutral-negative,neutral-neutral,3.94,2.76
587,exert,neutral-neutral,neutral-neutral,5.47,2.43
588,exhume,neutral-negative,neutral-neutral,3.95,3.85
589,exist,neutral-neutral,neutral-neutral,5.9,2.38
590,exonerate,abstract-neutral,neutral-neutral,5.44,1.75
591,expand,neutral-neutral,neutral-neutral,5.35,3.36
592,expect,abstract-neutral,neutral-neutral,5.95,1.89
593,expedite,neutral-positive,neutral-neutral,6.1,3.04
594,expel,neutral-negative,neutral-neutral,3.75,2.88
595,expire,neutral-negative,neutral-neutral,3.16,2.73
596,explain,abstract-neutral,neutral-neutral,5.41,1.97
597,explode,concrete-neutral,neutral-neutral,4.38,4.1
598,exploit,abstract-negative,neutral-neutral,3.65,1.68
599,explore,neutral-positive,neutral-positive,7.0,2.9
600,expose,neutral-neutral,neutral-neutral,4.14,3.46
601,express,neutral-neutral,neutral-neutral,5.53,2.21
602,extend,neutral-neutral,neutral-neutral,5.86,2.93
603,exterminate,neutral-negative,neutral-neutral,3.19,2.86
604,extinguish,neutral-neutral,neutral-neutral,4.65,3.47
605,extort,neutral-negative,neutral-neutral,3.19,2.59
606,extract,neutral-neutral,neutral-neutral,5.15,3.56
607,facilitate,abstract-neutral,abstract-neutral,4.63,1.5
608,fade,neutral-neutral,neutral-neutral,4.65,2.48
609,fail,neutral-negative,neutral-neutral,2.33,3.0
610,fall,concrete-negative,neutral-neutral,3.89,4.04
611,fantasize,neutral-positive,neutral-positive,7.0,2.14
612,fascinate,abstract-positive,neutral-positive,7.0,1.75
613,fasten,concrete-neutral,neutral-neutral,5.63,4.14
614,fathom,neutral-neutral,neutral-neutral,5.21,2.07
615,fatten,neutral-negative,neutral-neutral,3.89,3.23
616,feed,concrete-positive,neutral-neutral,6.95,4.17
617,feel,neutral-positive,neutral-neutral,6.27,2.28
618,feeling,abstract-positive,neutral-neutral,6.5,1.68
619,feign,neutral-neutral,neutral-neutral,4.45,2.11
620,fend,neutral-neutral,neutral-neutral,4.82,2.34
621,fertilize,neutral-neutral,neutral-neutral,5.45,3.72
622,fetch,neutral-neutral,neutral-neutral,5.32,3.42
623,fight,concrete-negative,neutral-neutral,3.54,4.2
624,figure,neutral-neutral,neutral-neutral,5.09,3.63
625,fill,neutral-neutral,neutral-neutral,5.56,3.32
626,finalize,neutral-neutral,neutral-neutral,5.6,2.14
627,find,neutral-positive,neutral-neutral,6.45,2.63
628,finish,neutral-positive,neutral-neutral,6.41,2.89
629,fit,neutral-positive,neutral-neutral,6.28,2.7
630,fix,neutral-positive,neutral-neutral,6.11,2.93
631,flatten,neutral-neutral,neutral-neutral,5.24,3.86
632,flatter,neutral-positive,neutral-neutral,6.1,2.14
633,flaunt,neutral-neutral,neutral-neutral,4.39,2.27
634,flee,neutral-negative,neutral-neutral,3.84,3.67
635,flex,neutral-neutral,neutral-neutral,5.32,3.88
636,flinch,neutral-negative,neutral-neutral,4.0,3.59
637,flip,neutral-neutral,neutral-neutral,5.6,3.97
638,flirt,neutral-positive,neutral-neutral,6.73,3.26
639,float,concrete-positive,neutral-neutral,6.42,4.07
640,floss,concrete-neutral,neutral-neutral,5.0,4.41
641,flourish,neutral-positive,neutral-positive,7.21,2.1
642,flunk,neutral-negative,neutral-negative,1.95,2.4
643,flush,neutral-neutral,neutral-neutral,4.67,3.72
644,flutter,neutral-neutral,neutral-neutral,5.7,3.4
645,fly,concrete-positive,concrete-neutral,6.06,4.64
646,focus,neutral-positive,neutral-neutral,6.48,2.35
647,fold,concrete-neutral,neutral-neutral,5.19,4.13
648,follow,neutral-neutral,neutral-neutral,4.82,3.26
649,fondle,neutral-neutral,neutral-neutral,4.32,3.42
650,forbid,abstract-negative,neutral-neutral,2.82,1.96
651,foreclose,neutral-negative,neutral-neutral,2.0,3.04
652,forego,neutral-neutral,neutral-neutral,4.89,2.37
653,foresee,neutral-neutral,neutral-neutral,5.67,2.08
654,forfeit,neutral-negative,neutral-neutral,3.68,2.63
655,forge,concrete-neutral,neutral-neutral,5.0,4.04
656,forget,neutral-negative,neutral-neutral,3.73,2.04
657,forgive,abstract-positive,neutral-positive,7.06,1.92
658,formulate,neutral-neutral,neutral-neutral,5.22,2.59
659,fornicate,neutral-neutral,neutral-neutral,4.67,3.46
660,forsake,abstract-negative,neutral-neutral,3.58,1.96
661,freeze,neutral-neutral,neutral-neutral,4.64,3.96
662,freshen,neutral-positive,neutral-neutral,6.56,2.17
663,fret,neutral-negative,neutral-neutral,3.73,2.65
664,frighten,neutral-negative,neutral-neutral,2.95,3.07
665,frisk,neutral-neutral,neutral-neutral,4.8,2.79
666,frown,concrete-negative,neutral-neutral,3.35,4.08
667,frustrated,neutral-negative,neutral-neutral,2.55,2.47
668,fry,concrete-neutral,neutral-neutral,5.95,4.37
669,fuck,neutral-neutral,neutral-neutral,5.23,3.19
670,fulfill,abstract-positive,neutral-positive,7.33,1.78
671,fumble,neutral-negative,neutral-neutral,3.7,3.47
672,furnish,neutral-neutral,neutral-neutral,5.65,3.75
673,gain,neutral-neutral,neutral-neutral,5.9,2.24
674,gamble,neutral-neutral,neutral-neutral,4.81,3.17
675,gargle,concrete-neutral,neutral-neutral,5.1,4.31
676,gather,neutral-neutral,neutral-neutral,5.72,2.75
677,generate,neutral-positive,neutral-neutral,6.14,2.23
678,get,neutral-positive,neutral-neutral,6.09,2.38
679,giggle,neutral-positive,neutral-positive,7.95,3.72
680,give,neutral-positive,neutral-positive,7.73,2.83
681,glide,neutral-positive,neutral-neutral,6.1,3.93
682,glisten,neutral-positive,neutral-neutral,6.5,3.52
683,gloat,neutral-negative,neutral-neutral,3.68,2.3
684,go,neutral-positive,neutral-neutral,6.32,3.15
685,gobble,neutral-neutral,neutral-neutral,5.5,3.37
686,goggle,concrete-neutral,neutral-neutral,5.0,4.42
687,gouge,neutral-negative,neutral-neutral,3.14,3.2
688,govern,neutral-neutral,neutral-neutral,4.52,2.21
689,grab,neutral-neutral,neutral-neutral,5.44,3.52
690,graduate,neutral-positive,neutral-positive,7.26,3.07
691,graze,neutral-neutral,neutral-neutral,5.26,3.52
692,greet,neutral-positive,neutral-neutral,6.25,2.96
693,grieve,neutral-negative,neutral-neutral,2.8,2.41
694,grind,neutral-neutral,neutral-neutral,5.2,3.97
695,grope,neutral-negative,neutral-neutral,3.95,3.78
696,grovel,neutral-negative,neutral-neutral,3.3,3.0
697,grow,neutral-positive,neutral-neutral,6.28,3.03
698,guarantee,abstract-positive,neutral-neutral,6.17,1.96
699,guess,neutral-neutral,neutral-neutral,5.18,2.28
700,gulp,concrete-neutral,neutral-neutral,4.7,4.19
701,gush,neutral-neutral,neutral-neutral,5.32,3.38
702,hack,neutral-negative,neutral-neutral,3.95,3.1
703,haggle,neutral-neutral,neutral-neutral,4.78,2.93
704,hail,concrete-neutral,neutral-neutral,4.81,4.32
705,halt,neutral-neutral,neutral-neutral,4.42,3.38
706,handcuff,concrete-negative,concrete-neutral,3.35,4.79
707,handle,concrete-neutral,concrete-neutral,5.73,4.57
708,hang,neutral-negative,neutral-neutral,3.1,3.7
709,happen,abstract-neutral,neutral-neutral,5.5,1.78
710,harass,neutral-negative,neutral-neutral,2.95,2.67
711,harden,neutral-neutral,neutral-neutral,4.29,3.36
712,hark,neutral-neutral,neutral-neutral,4.65,2.38
713,hasten,neutral-neutral,neutral-neutral,4.9,2.22
714,hate,abstract-negative,neutral-negative,1.96,1.97
715,haul,neutral-neutral,neutral-neutral,4.95,3.81
716,haunt,neutral-neutral,neutral-neutral,4.05,2.03
717,have,neutral-neutral,neutral-neutral,5.86,2.18
718,heal,neutral-positive,neutral-positive,7.41,3.03
719,hear,neutral-positive,neutral-neutral,6.68,3.66
720,heave,neutral-neutral,neutral-neutral,4.1,3.67
721,heed,abstract-neutral,neutral-neutral,4.77,1.93
722,help,neutral-positive,neutral-neutral,6.95,2.56
723,hesitate,neutral-negative,neutral-neutral,4.0,2.46
724,hide,neutral-neutral,neutral-neutral,4.9,3.21
725,hightail,neutral-neutral,neutral-neutral,4.95,2.29
726,hijack,neutral-negative,neutral-negative,1.84,3.33
727,hinder,neutral-negative,neutral-neutral,3.9,2.78
728,hire,neutral-positive,neutral-positive,7.09,3.11
729,hiss,neutral-negative,neutral-neutral,3.65,3.6
730,hit,concrete-negative,neutral-neutral,3.95,4.11
731,hitchhike,neutral-neutral,neutral-neutral,4.74,3.44
732,hoist,neutral-neutral,neutral-neutral,5.0,4.0
733,hold,neutral-positive,neutral-neutral,6.05,3.68
734,holler,neutral-negative,neutral-neutral,3.68,3.57
735,hone,neutral-neutral,neutral-neutral,5.42,2.52
736,honk,concrete-neutral,concrete-neutral,4.95,4.52
737,hop,neutral-neutral,neutral-neutral,5.89,3.8
738,hope,abstract-positive,abstract-positive,7.48,1.25
739,hover,neutral-neutral,neutral-neutral,5.5,3.17
740,howl,neutral-neutral,neutral-neutral,5.29,3.83
741,huddle,concrete-neutral,neutral-neutral,5.32,4.21
742,huff,neutral-neutral,neutral-neutral,4.4,3.32
743,humiliate,neutral-negative,neutral-neutral,2.6,2.07
744,hunt,neutral-negative,neutral-neutral,3.84,3.81
745,hurl,concrete-negative,neutral-neutral,3.32,4.1
746,hurry,neutral-neutral,neutral-neutral,4.32,2.63
747,hurt,neutral-negative,neutral-neutral,2.45,3.61
748,hustle,neutral-neutral,neutral-neutral,4.52,2.96
749,hydrate,neutral-neutral,neutral-neutral,5.74,3.32
750,hyperventilate,neutral-negative,neutral-neutral,2.88,3.86
751,hypnotize,neutral-neutral,neutral-neutral,5.7,2.48
752,identify,neutral-neutral,neutral-neutral,6.0,2.64
753,ignite,concrete-neutral,neutral-neutral,4.7,4.04
754,ignore,neutral-negative,neutral-neutral,3.33,2.22
755,illuminate,neutral-positive,neutral-neutral,6.58,3.55
756,illustrate,neutral-positive,neutral-neutral,6.24,3.31
757,imagine,abstract-positive,neutral-positive,7.2,1.53
758,imitate,neutral-neutral,neutral-neutral,5.44,2.66
759,impair,abstract-negative,neutral-neutral,3.26,1.73
760,impart,abstract-neutral,neutral-neutral,5.63,2.0
761,impeach,neutral-negative,neutral-neutral,3.45,2.11
762,impede,neutral-negative,neutral-neutral,3.95,2.73
763,impersonate,neutral-neutral,neutral-neutral,4.73,2.88
764,implement,neutral-neutral,neutral-neutral,5.05,2.33
765,implicate,abstract-neutral,neutral-neutral,4.48,1.68
766,implore,abstract-neutral,neutral-neutral,4.47,1.61
767,imply,abstract-neutral,neutral-neutral,4.79,1.86
768,impose,abstract-negative,neutral-neutral,3.86,1.93
769,impregnate,neutral-neutral,neutral-neutral,4.5,3.29
770,impress,neutral-positive,neutral-neutral,6.25,2.07
771,imprison,neutral-negative,neutral-neutral,2.48,3.35
772,improve,abstract-positive,neutral-neutral,6.14,1.82
773,improvise,neutral-neutral,neutral-neutral,5.78,2.07
774,incarnate,neutral-neutral,neutral-neutral,4.62,2.11
775,incite,neutral-neutral,neutral-neutral,4.76,2.47
776,include,neutral-positive,neutral-neutral,6.39,2.48
777,incorporate,neutral-neutral,neutral-neutral,5.37,2.15
778,increase,neutral-neutral,neutral-neutral,5.9,2.61
779,incriminate,neutral-negative,neutral-neutral,2.84,2.07
780,incur,abstract-neutral,neutral-neutral,4.8,2.0
781,indicate,neutral-neutral,neutral-neutral,5.05,2.39
782,indict,neutral-negative,neutral-neutral,3.67,2.6
783,induce,neutral-neutral,neutral-neutral,5.0,2.34
784,indulge,neutral-positive,neutral-neutral,6.33,2.56
785,infect,neutral-negative,neutral-neutral,2.84,2.88
786,infer,neutral-neutral,neutral-neutral,4.79,2.15
787,infiltrate,neutral-neutral,neutral-neutral,4.41,2.71
788,inflate,neutral-neutral,neutral-neutral,4.3,3.34
789,inflict,neutral-negative,neutral-neutral,3.35,2.75
790,inform,neutral-neutral,neutral-neutral,5.18,2.25
791,inhabit,neutral-neutral,neutral-neutral,5.38,3.21
792,inhale,neutral-neutral,neutral-neutral,5.36,3.84
793,inherit,neutral-positive,neutral-positive,7.11,2.04
794,initiate,neutral-positive,neutral-neutral,6.1,2.71
795,inject,concrete-negative,neutral-neutral,3.32,4.28
796,injure,neutral-negative,neutral-neutral,3.74,3.48
797,inquire,neutral-neutral,neutral-neutral,5.32,2.38
798,insert,neutral-neutral,neutral-neutral,5.1,2.57
799,insinuate,abstract-neutral,neutral-neutral,4.09,1.77
800,insist,neutral-neutral,neutral-neutral,4.42,2.14
801,inspect,neutral-neutral,neutral-neutral,5.26,3.31
802,inspire,abstract-positive,neutral-positive,7.42,1.74
803,inspired,abstract-positive,neutral-neutral,6.89,1.55
804,install,neutral-neutral,neutral-neutral,5.95,3.19
805,instruct,neutral-neutral,neutral-neutral,5.81,2.48
806,insult,neutral-negative,neutral-neutral,2.62,2.79
807,insure,neutral-neutral,neutral-neutral,5.67,2.41
808,integrate,neutral-neutral,neutral-neutral,5.78,2.08
809,intend,abstract-neutral,neutral-neutral,5.75,1.71
810,interact,neutral-neutral,neutral-neutral,6.0,2.88
811,intercede,neutral-neutral,neutral-neutral,5.24,2.07
812,intercept,neutral-neutral,neutral-neutral,4.64,3.18
813,interfere,neutral-negative,neutral-neutral,3.94,2.59
814,interject,abstract-neutral,neutral-neutral,4.29,2.0
815,interpret,neutral-neutral,neutral-neutral,5.2,2.34
816,interrogate,neutral-negative,neutral-neutral,2.76,2.48
817,interrupt,neutral-negative,neutral-neutral,3.26,3.0
818,intervene,neutral-neutral,neutral-neutral,5.21,2.57
819,intimidate,abstract-negative,neutral-neutral,2.84,1.75
820,introduce,neutral-neutral,neutral-neutral,5.91,2.62
821,intrude,neutral-negative,neutral-neutral,3.1,2.81
822,invade,neutral-negative,neutral-neutral,3.32,3.28
823,invent,neutral-positive,neutral-neutral,6.64,2.66
824,invest,neutral-positive,neutral-neutral,6.16,2.47
825,investigate,neutral-neutral,neutral-neutral,5.68,2.27
826,invite,neutral-neutral,neutral-neutral,5.68,3.0
827,invoke,abstract-neutral,neutral-neutral,5.05,1.64
828,involve,neutral-neutral,neutral-neutral,5.44,2.43
829,irrigate,neutral-neutral,neutral-neutral,5.23,3.53
830,irritate,neutral-negative,neutral-neutral,3.19,2.43
831,isolate,neutral-neutral,neutral-neutral,4.35,2.67
832,jab,concrete-negative,neutral-neutral,3.81,4.11
833,jeopardize,abstract-negative,neutral-neutral,3.1,1.74
834,jiggle,neutral-positive,neutral-neutral,6.15,3.52
835,jog,neutral-neutral,neutral-neutral,5.81,3.63
836,join,neutral-neutral,neutral-neutral,5.83,2.86
837,jot,neutral-neutral,neutral-neutral,4.79,3.3
838,juggle,concrete-neutral,neutral-neutral,5.84,4.04
839,jump,concrete-positive,concrete-neutral,6.44,4.52
840,justify,abstract-positive,abstract-neutral,6.17,1.45
841,keel,neutral-neutral,neutral-neutral,4.64,3.48
842,keep,neutral-positive,neutral-neutral,6.32,2.37
843,kick,concrete-neutral,neutral-neutral,4.55,4.33
844,kickboxing,concrete-neutral,concrete-neutral,5.33,4.59
845,kidnap,neutral-negative,neutral-neutral,2.19,3.83
846,kill,neutral-negative,neutral-negative,1.81,3.9
847,killing,neutral-negative,neutral-negative,1.95,3.43
848,kiss,concrete-positive,neutral-positive,7.78,4.48
849,kneel,concrete-negative,neutral-neutral,4.0,4.31
850,knit,concrete-neutral,neutral-neutral,5.85,4.41
851,knock,concrete-neutral,neutral-neutral,5.44,4.24
852,know,abstract-positive,neutral-neutral,6.82,1.68
853,lament,abstract-neutral,neutral-neutral,4.16,1.75
854,lash,neutral-neutral,neutral-neutral,4.63,3.79
855,laugh,concrete-positive,neutral-positive,7.56,4.21
856,launch,neutral-positive,neutral-neutral,6.4,3.7
857,launder,neutral-neutral,neutral-neutral,5.15,3.18
858,lay,neutral-positive,neutral-neutral,6.18,3.86
859,lead,concrete-neutral,neutral-neutral,5.56,4.1
860,lean,neutral-positive,neutral-neutral,6.35,3.0
861,learn,neutral-positive,neutral-neutral,6.85,2.2
862,leave,neutral-neutral,neutral-neutral,4.68,2.53
863,lend,neutral-neutral,neutral-neutral,4.95,3.07
864,lessen,neutral-neutral,neutral-neutral,4.5,2.23
865,let,neutral-neutral,neutral-neutral,5.95,2.26
866,levitate,neutral-neutral,neutral-neutral,5.4,3.37
867,liberate,neutral-neutral,neutral-neutral,5.79,2.29
868,lick,concrete-positive,concrete-neutral,6.38,4.52
869,lie,neutral-negative,neutral-neutral,2.39,3.11
870,lift,neutral-neutral,neutral-neutral,5.32,3.89
871,lighten,neutral-positive,neutral-neutral,6.21,2.93
872,lightheaded,neutral-neutral,neutral-neutral,4.89,2.57
873,linger,neutral-neutral,neutral-neutral,4.42,2.41
874,liquidate,neutral-negative,neutral-neutral,3.95,2.79
875,listen,neutral-positive,neutral-neutral,6.91,3.47
876,live,neutral-positive,neutral-positive,7.95,3.57
877,liven,abstract-positive,neutral-neutral,6.1,1.88
878,loathe,neutral-negative,neutral-neutral,2.68,2.04
879,locate,neutral-neutral,neutral-neutral,5.58,2.97
880,lock,concrete-neutral,concrete-neutral,4.56,4.65
881,look,neutral-neutral,neutral-neutral,5.95,2.96
882,loosen,neutral-neutral,neutral-neutral,5.0,3.24
883,lop,neutral-neutral,neutral-neutral,4.8,3.32
884,lopsided,neutral-neutral,neutral-neutral,4.19,3.56
885,lose,neutral-negative,neutral-neutral,3.59,2.25
886,lost,neutral-negative,neutral-neutral,2.53,2.67
887,love,neutral-positive,neutral-positive,8.0,2.07
888,lunge,concrete-neutral,neutral-neutral,4.27,4.16
889,lure,neutral-neutral,neutral-neutral,4.65,3.59
890,lurk,neutral-negative,neutral-neutral,3.48,2.85
891,magnify,neutral-neutral,neutral-neutral,4.86,3.71
892,maim,neutral-negative,neutral-neutral,3.14,3.36
893,maintain,neutral-positive,neutral-neutral,6.29,2.32
894,make,neutral-positive,neutral-neutral,6.09,2.67
895,makeover,neutral-neutral,neutral-neutral,5.76,3.64
896,manage,abstract-neutral,neutral-neutral,4.71,2.0
897,mangle,neutral-negative,neutral-neutral,2.9,3.34
898,manifest,neutral-neutral,neutral-neutral,4.81,2.43
899,manipulate,neutral-negative,neutral-neutral,3.21,2.55
900,manufacture,neutral-neutral,neutral-neutral,5.0,3.07
901,marry,neutral-positive,neutral-positive,7.09,3.03
902,masturbate,concrete-neutral,neutral-neutral,5.65,4.18
903,materialize,neutral-neutral,neutral-neutral,5.75,2.46
904,maximize,abstract-positive,neutral-neutral,6.2,1.79
905,may,neutral-neutral,neutral-neutral,5.55,3.0
906,mean,neutral-negative,neutral-neutral,2.43,2.5
907,measure,neutral-neutral,neutral-neutral,5.14,3.59
908,meddle,neutral-negative,neutral-neutral,3.86,2.43
909,medicate,neutral-neutral,neutral-neutral,4.15,3.04
910,meditate,neutral-positive,neutral-neutral,6.47,3.25
911,meet,neutral-positive,neutral-neutral,6.09,3.0
912,melt,neutral-neutral,neutral-neutral,5.95,3.96
913,memorize,neutral-neutral,neutral-neutral,5.7,3.3
914,mend,neutral-positive,neutral-neutral,6.53,3.5
915,mention,neutral-neutral,neutral-neutral,5.39,2.69
916,meow,neutral-positive,neutral-neutral,6.14,3.92
917,merge,neutral-neutral,neutral-neutral,4.95,3.24
918,meth,concrete-negative,concrete-neutral,2.55,4.63
919,migrate,neutral-neutral,neutral-neutral,4.57,3.15
920,mimic,neutral-neutral,neutral-neutral,4.67,3.22
921,mince,neutral-neutral,neutral-neutral,5.23,4.0
922,mingle,neutral-neutral,neutral-neutral,5.21,3.17
923,minimize,neutral-neutral,neutral-neutral,5.16,2.37
924,misbehave,neutral-negative,neutral-neutral,3.79,2.07
925,mislead,neutral-negative,neutral-neutral,3.2,2.41
926,misplace,neutral-negative,neutral-neutral,3.15,2.52
927,misread,neutral-negative,neutral-neutral,3.59,2.07
928,mistrust,neutral-negative,neutral-neutral,2.0,2.04
929,misunderstand,abstract-neutral,neutral-neutral,4.05,1.85
930,mitigate,neutral-neutral,neutral-neutral,5.38,2.16
931,mix,neutral-neutral,neutral-neutral,5.71,3.82
932,moan,neutral-neutral,neutral-neutral,4.05,3.72
933,mobilize,neutral-neutral,neutral-neutral,5.95,2.62
934,mock,neutral-negative,neutral-neutral,3.81,2.43
935,modify,neutral-neutral,neutral-neutral,5.1,2.55
936,molest,neutral-negative,neutral-negative,1.89,3.03
937,mope,neutral-negative,neutral-neutral,3.27,2.17
938,motivate,neutral-positive,neutral-neutral,6.05,2.07
939,mourn,neutral-negative,neutral-neutral,2.4,2.33
940,move,neutral-neutral,neutral-neutral,4.95,3.25
941,mow,concrete-neutral,neutral-neutral,4.94,4.32
942,muddle,neutral-neutral,neutral-neutral,4.47,2.71
943,mull,neutral-neutral,neutral-neutral,4.38,2.43
944,multiply,neutral-neutral,neutral-neutral,5.43,2.79
945,mumble,neutral-neutral,neutral-neutral,4.4,3.69
946,munch,neutral-positive,neutral-neutral,6.32,3.82
947,mush,neutral-neutral,neutral-neutral,4.05,3.67
948,must,neutral-neutral,neutral-neutral,5.45,2.13
949,muster,neutral-neutral,neutral-neutral,4.67,2.03
950,mutate,neutral-neutral,neutral-neutral,4.16,2.52
951,mutilate,neutral-negative,neutral-neutral,2.0,3.86
952,mutter,neutral-neutral,neutral-neutral,4.4,3.21
953,nab,neutral-negative,neutral-neutral,3.65,3.46
954,nag,neutral-negative,neutral-neutral,2.3,3.03
955,nail,concrete-neutral,concrete-neutral,4.6,4.93
956,narcissist,neutral-negative,neutral-neutral,3.11,2.17
