,Word,Experiment,V.Mean.Sum,V.SD.Sum,A.Mean.Sum,A.SD.Sum,D.Mean.Sum,D.SD.Sum
208,admire,Ex2a: Phys-Psych (Verbs),7.35,1.27,5.0,2.27,7.33,1.65
209,admire,Ex4: Syntactic (N v. V),7.35,1.27,5.0,2.27,7.33,1.65
210,hit,Ex2a: Phys-Psych (Verbs),3.95,2.04,5.48,2.0,5.15,2.52
211,displease,Ex2a: Phys-Psych (Verbs),2.63,0.96,5.71,2.22,4.45,2.28
212,crash,Ex2a: Phys-Psych (Verbs),2.9,2.03,4.55,2.94,3.3,2.24
213,repair,Ex2a: Phys-Psych (Verbs),4.89,1.37,3.38,2.18,5.78,2.35
214,slash,Ex2a: Phys-Psych (Verbs),4.85,1.73,5.65,2.81,4.97,2.37
215,encourage,Ex2a: Phys-Psych (Verbs),7.16,1.26,4.38,2.42,6.2,2.25
216,offend,Ex2a: Phys-Psych (Verbs),3.29,1.76,4.81,2.04,4.17,2.92
217,twinkle,Ex2a: Phys-Psych (Verbs),6.26,1.79,3.72,2.35,5.82,2.38
218,dread,Ex2a: Phys-Psych (Verbs),3.0,1.89,4.5,2.4,3.62,2.2
219,irritate,Ex2a: Phys-Psych (Verbs),3.19,1.69,5.85,2.23,4.39,2.59
220,slaughter,Ex2a: Phys-Psych (Verbs),2.33,1.85,5.77,2.36,3.57,2.28
221,tear,Ex2a: Phys-Psych (Verbs),3.14,1.73,4.8,2.42,5.68,2.45
222,reassure,Ex2a: Phys-Psych (Verbs),6.55,1.76,3.7,2.4,6.07,2.02
223,delete,Ex2a: Phys-Psych (Verbs),4.0,1.52,3.71,2.24,5.39,2.84
224,impress,Ex2a: Phys-Psych (Verbs),6.25,1.62,4.82,2.04,6.62,1.69
225,produce,Ex2a: Phys-Psych (Verbs),6.57,2.09,3.23,1.93,6.57,1.72
226,intruder,Ex3: Animacy (Nouns),2.46,1.83,5.66,2.64,3.18,1.89
227,gunshot,Ex3: Animacy (Nouns),2.79,2.06,5.55,2.86,3.7,1.92
228,princess,Ex3: Animacy (Nouns),7.64,1.94,5.42,2.83,5.74,2.98
229,sibling,Ex3: Animacy (Nouns),7.27,1.16,5.16,2.71,4.81,1.75
230,dictator,Ex3: Animacy (Nouns),2.77,2.18,5.5,2.44,4.19,2.66
231,chipmunk,Ex3: Animacy (Nouns),7.33,1.64,3.8,2.02,4.96,1.9
232,puppy,Ex3: Animacy (Nouns),7.85,1.53,5.84,2.62,6.24,2.15
233,award,Ex3: Animacy (Nouns),7.86,1.15,5.85,2.89,6.9,1.92
234,child,Ex3: Animacy (Nouns),7.2,1.47,5.33,2.59,5.2,2.58
235,sandwich,Ex3: Animacy (Nouns),7.18,1.33,4.94,2.62,5.57,2.2
236,slave,Ex3: Animacy (Nouns),2.06,1.92,4.53,2.68,2.61,2.5
237,slave,Ex4: Syntactic (N v. V),2.06,1.92,4.53,2.68,2.61,2.5
238,feast,Ex3: Animacy (Nouns),7.57,1.4,5.26,3.0,6.21,1.72
239,comedian,Ex3: Animacy (Nouns),7.6,1.19,5.78,2.04,6.48,1.91
240,wiretap,Ex3: Animacy (Nouns),2.95,2.41,5.23,2.47,2.71,1.82
241,corpse,Ex3: Animacy (Nouns),2.45,1.64,4.89,2.22,3.23,2.13
242,corpse,Ex4: Syntactic (N v. V),2.45,1.64,4.89,2.22,3.23,2.13
243,flood,Ex3: Animacy (Nouns),2.76,2.02,5.31,2.6,3.16,2.0
244,swastika,Ex3: Animacy (Nouns),2.33,2.01,5.26,3.03,3.35,2.4
245,smallpox,Ex3: Animacy (Nouns),2.02,1.26,4.9,2.5,3.34,2.39
246,widow,Ex3: Animacy (Nouns),2.28,1.71,3.5,2.4,4.12,1.83
247,duckling,Ex3: Animacy (Nouns),7.18,1.18,3.92,2.37,5.83,2.01
248,pizza,Ex3: Animacy (Nouns),7.89,1.29,4.58,2.72,5.47,2.48
249,poison,Ex3: Animacy (Nouns),2.16,1.46,6.01,2.31,3.38,2.37
250,leech,Ex3: Animacy (Nouns),2.43,1.83,4.09,2.72,4.5,2.64
251,meadow,Ex3: Animacy (Nouns),7.3,1.53,2.62,2.16,6.15,2.39
252,asshole,Ex3: Animacy (Nouns),2.11,1.88,6.38,2.77,2.89,1.91
253,prize,Ex3: Animacy (Nouns),8.0,0.86,5.5,2.84,6.16,2.41
254,mugger,Ex3: Animacy (Nouns),1.9,1.25,5.67,1.83,2.97,2.32
255,inmate,Ex3: Animacy (Nouns),2.67,2.09,4.73,2.91,3.0,1.89
256,bunny,Ex3: Animacy (Nouns),7.3,1.49,3.86,2.72,5.78,2.82
257,husband,Ex3: Animacy (Nouns),7.41,1.74,4.38,2.89,5.72,2.4
258,cocaine,Ex3: Animacy (Nouns),3.05,2.44,4.5,2.77,3.56,2.38
259,maggot,Ex3: Animacy (Nouns),2.0,1.59,5.6,2.38,3.55,1.93
260,doughnut,Ex3: Animacy (Nouns),7.5,1.41,4.5,2.34,5.87,2.12
261,kitten,Ex3: Animacy (Nouns),7.58,1.72,3.19,2.66,6.67,1.87
262,tapeworm,Ex3: Animacy (Nouns),2.19,1.57,4.9,2.86,3.33,2.29
263,excrement,Ex3: Animacy (Nouns),2.0,1.33,4.64,1.73,3.38,1.88
264,heroin,Ex3: Animacy (Nouns),2.74,2.6,4.62,2.07,3.67,2.56
265,dollar,Ex3: Animacy (Nouns),7.39,1.51,5.57,2.73,5.07,2.3
266,hatred,Ex4: Syntactic (N v. V),2.38,1.78,5.22,2.52,4.0,2.33
267,terror,Ex4: Syntactic (N v. V),2.75,1.97,6.35,2.42,2.95,2.27
268,glisten,Ex4: Syntactic (N v. V),6.5,1.67,5.28,2.3,6.0,2.49
269,choke,Ex4: Syntactic (N v. V),2.42,1.92,5.3,2.74,3.74,2.33
270,toxin,Ex4: Syntactic (N v. V),2.42,1.5,5.52,1.89,3.45,1.99
271,breathe,Ex4: Syntactic (N v. V),7.17,1.69,2.6,2.19,6.22,2.67
272,glide,Ex4: Syntactic (N v. V),6.1,1.61,4.58,2.39,6.23,2.52
